,brand,price,cartype,model,gearbox,regdate,mileage,motorpower,fuel,car_steering,carcolor,exchange,version,doors,financial,extra,Y
3157,vwvolkswagen,41000,hatch,fox,manual,2015,0,1.6,flex,hidráulica,branco,sim,fox pepper 1.6 flex 16v 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
3158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3159,vwvolkswagen,30000,hatch,gol,manual,2016,70000,1,flex,hidráulica,preto,sim,gol special 1.0 total flex 8v 5p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
3160,ford,30000,hatch,ka,manual,2018,64000,1,flex,elétrica,prata,0,ka 1.0 s tivct flex 5p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
3161,ford,31900,hatch,ka,manual,2018,40,0,flex,elétrica,branco,sim,ka 1.0 se 12v flex 4p manual,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",1
3162,ford,45900,passeio,ecosport,automático,2015,80000,0,flex,0,0,0,ecosport freestyle 2.0 16v flex 5p aut.,4 portas,0,"vidro elétrico, air bag, ar condicionado, direção hidráulica, alarme",0
3163,ford,33900,0,ka,manual,2018,22322,0,flex,hidráulica,branco,sim,0,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica",0
3164,vwvolkswagen,43900,passeio,gol,manual,2018,27677,0,flex,0,0,0,gol  novo  1.6 mi total flex 8v 4p,4 portas,0,"vidro elétrico, air bag, air bag, trava elétrica, ar condicionado, direção hidráulica",0
3165,ford,31500,hatch,fiesta,automático,2015,71000,1.6,flex,elétrica,prata,não,fiesta 1.6 16v flex aut. 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",
3166,vwvolkswagen,30900,hatch,up,manual,2017,47000,1,flex,elétrica,branco,sim,up  take 1.0 total flex 12v 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme",
